[line:92] 2019-10-20 10:52:12,131 INFO 还未注册，请先注册。
[line:79] 2019-10-20 10:52:29,219 INFO 注册成功
[line:97] 2019-10-20 10:52:51,522 INFO 登录成功！
[line:155] 2019-10-20 10:53:21,723 INFO 增加成功
[line:184] 2019-10-20 10:53:28,258 INFO 查询到记录。
[line:155] 2019-10-20 10:53:49,222 INFO 增加成功
[line:253] 2019-10-20 10:53:53,239 INFO 保存成功
[line:184] 2019-10-20 10:53:55,401 INFO 查询到记录。
[line:155] 2019-10-20 10:54:28,050 INFO 增加成功
[line:253] 2019-10-20 10:54:30,144 INFO 保存成功
[line:92] 2019-10-20 10:54:54,443 INFO 还未注册，请先注册。
[line:97] 2019-10-20 10:55:29,570 INFO 登录成功！
[line:184] 2019-10-20 10:55:29,570 INFO 查询到记录。
[line:59] 2019-10-20 10:55:29,571 INFO 加载成功
[line:97] 2019-10-20 10:56:46,042 INFO 登录成功！
[line:184] 2019-10-20 10:56:46,042 INFO 查询到3条记录。
[line:59] 2019-10-20 10:56:46,042 INFO 加载成功
[line:246] 2019-10-20 10:57:15,234 ERROR 请输入正确的查询条件！
[line:242] 2019-10-20 10:57:27,633 INFO 数据发送成功!
