creationTime,productSize,productColor,content
2019-10-02 11:41:10,全网通（8GB 128GB）,幻夜黑,外形外观：音孔电镀不一样
2019-10-19 12:38:34,全网通（8GB 128GB）,蓝水翡翠,拍照效果：我怀疑我的摄像头是假的也就1000万像素的样子
2019-10-07 17:35:41,全网通（8GB 128GB）,幻夜黑,其他特色：赠品发错了
2019-10-02 08:55:55,全网通（8GB 128GB）,冰岛白,你仅缺乏一件职业道德！
2019-09-06 21:49:19,全网通（8GB 128GB）,蓝水翡翠,说好的国家宝藏礼品呢？？？
2019-09-29 17:38:16,全网通（8GB 128GB）,幻影蓝,外形外观：听l简网掉漆
2019-07-15 13:09:15,全网通（8GB 256GB）,冰岛白,***十五天手机都有问题了。
2019-06-27 14:25:17,全网通（8GB 128GB）,幻影蓝,新机上就有气泡
2019-10-16 18:06:21,全网通（8GB 128GB）,蓝水翡翠,运行速度：说话是8g运行内存实际只有5g能使用的
2019-07-22 15:24:05,全网通（8GB 128GB）,冰岛白,京东 很不错 但是这个商品不敢恭维
2019-09-21 13:54:04,全网通（8GB 128GB）,冰岛白,京东商品且用且珍惜吧
2019-07-27 02:09:37,全网通（8GB 256GB）,幻夜黑,机暂时用着还可以，就是快递员的服务态度太差
2019-08-05 10:00:16,全网通（8GB 128GB）,幻影蓝,手机不错   可物流给差评
2019-09-12 20:20:50,全网通（8GB 128GB）,冰岛白,拍照效果：功能没的说，很强大，买了两周就降价很不爽，
2019-10-15 20:12:28,全网通（8GB 256GB）,蓝水翡翠,手机倒是送的挺快的，拿回来打开看没有所说的赠送移动电源
2019-10-17 19:26:12,全网通（8GB 128GB）,幻影蓝,"运行速度：卡顿
待机时间：可以
屏幕音效：垃圾
外形外观：可以
拍照效果：废柴"
2019-06-12 11:52:35,全网通（8GB 128GB）,冰岛白,外放没声音，其他都是挺好的，就是品控糟心。
2019-10-08 19:56:42,全网通（8GB 128GB）,蓝水翡翠,我应该不会再买任何荣耀系列了吧
2019-09-30 10:29:27,全网通（8GB 128GB）,蓝水翡翠,拍照效果：都很好
2019-08-27 07:18:47,全网通（8GB 128GB）,幻影蓝,物流态度恶劣，还送错地方。
2019-09-16 03:00:23,全网通（8GB 128GB）,冰岛白,"拍照效果：追求拍照的人不推荐买，一个字渣，比v9还差。

其他应该还行吧"
2019-07-20 10:28:44,全网通（8GB 128GB）,幻夜黑,这一星送给荣耀官方店，当天晚上买完，第二天就送东西
2019-07-07 22:02:28,全网通（8GB 128GB）,冰岛白,一星是因为京东 与手机无关
2019-09-15 21:50:17,全网通（8GB 128GB）,幻夜黑,"外形外观：好
屏幕音效：用过的手机最好
拍照效果：不错
运行速度：好
待机时间：差"
